,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Votes,Gross
668,Midnight Cowboy,(1969),113 min,7.8,79        ,"116,931",$44.79M
669,Straight Outta Compton,(2015),147 min,7.8,72        ,"212,743",$161.20M
670,Serenity,(2005),119 min,7.8,74        ,"302,304",$25.51M
671,The Remains of the Day,(1993),134 min,7.8,86        ,"80,650",$22.95M
672,Changeling,(2008),141 min,7.8,63        ,"262,014",$35.74M
673,The Man from Earth,(2007),87 min,7.8,****,"195,170",%^%^%^
674,The King of Comedy,(1982),109 min,7.8,73        ,"112,991",$2.50M
675,The Fighter,(I) (2010),116 min,7.8,79        ,"381,789",$93.62M
676,Night of the Living Dead,(1968),96 min,7.8,89        ,"135,007",$0.09M
677,October Sky,(1999),108 min,7.8,71        ,"95,836",$32.48M
678,Mississippi Burning,(1988),128 min,7.8,65        ,"106,321",$34.60M
679,Gekijouban Jujutsu Kaisen 0,(2021),105 min,7.8,71        ,"28,842",$34.54M
680,Hunt for the Wilderpeople,(2016),101 min,7.8,81        ,"137,440",$5.20M
681,Män som hatar kvinnor,(2009),152 min,7.8,76        ,"220,869",$10.10M
682,Majo no takkyûbin,(1989),103 min,7.8,85        ,"156,305",%^%^%^
683,La migliore offerta,(2013),131 min,7.8,49        ,"125,271",$0.09M
684,Glory,(1989),122 min,7.8,78        ,"141,058",$26.83M
685,The Day of the Jackal,(1973),143 min,7.8,80        ,"43,514",$16.06M
686,Dawn of the Dead,(1978),127 min,7.8,71        ,"125,580",$5.10M
687,The Insider,(1999),157 min,7.8,84        ,"176,961",$28.97M
688,Ed Wood,(1994),127 min,7.8,70        ,"181,330",$5.89M
689,Thirteen Lives,(2022),147 min,7.8,66        ,"63,825",%^%^%^
690,Frankenstein,(1931),70 min,7.8,91        ,"76,891",%^%^%^
691,Paddington 2,(2017),103 min,7.8,88        ,"87,599",$40.44M
692,The Conversation,(1974),113 min,7.8,87        ,"117,669",$4.42M
693,How to Train Your Dragon 2,(2014),102 min,7.8,77        ,"353,838",$177.00M
694,My Fair Lady,(1964),170 min,7.8,95        ,"99,397",$72.00M
695,Freaks,(1932),64 min,7.8,80        ,"48,932",$0.63M
696,Kramer vs. Kramer,(1979),105 min,7.8,77        ,"151,363",$106.26M
697,Gaslight,(1944),114 min,7.8,78        ,"32,288",%^%^%^
698,The Right Stuff,(1983),193 min,7.8,91        ,"64,080",$21.50M
699,Lilja 4-ever,(2002),109 min,7.8,83        ,"47,958",$0.18M
700,The Outlaw Josey Wales,(1976),135 min,7.8,69        ,"77,848",$31.80M
701,The World's Fastest Indian,(2005),127 min,7.8,68        ,"57,148",$5.13M
702,Cabaret,(1972),124 min,7.8,80        ,"57,889",$42.77M
703,All That Jazz,(1979),123 min,7.8,72        ,"34,065",$37.82M
704,Stagecoach,(1939),96 min,7.8,93        ,"52,189",%^%^%^
705,Batman: Mask of the Phantasm,(1993),76 min,7.8,65        ,"54,857",$5.62M
706,Days of Heaven,(1978),94 min,7.8,93        ,"61,047",%^%^%^
707,Chugyeokja,(2008),125 min,7.8,64        ,"70,523",%^%^%^
708,The Innocents,(1961),100 min,7.8,88        ,"32,141",$2.62M
709,Manhattan,(1979),96 min,7.8,83        ,"144,409",$45.70M
710,The Day the Earth Stood Still,(1951),92 min,7.8,83        ,"84,510",%^%^%^
711,Once,(I) (2007),86 min,7.8,90        ,"119,680",$9.44M
712,Hannah and Her Sisters,(1986),107 min,7.8,90        ,"74,418",$40.08M
713,Loving Vincent,(2017),94 min,7.8,62        ,"61,556",$6.74M
714,Letters from Iwo Jima,(2006),141 min,7.8,89        ,"167,746",$13.76M
715,Todo sobre mi madre,(1999),101 min,7.8,87        ,"100,857",$8.26M
716,The Killing Fields,(1984),141 min,7.8,76        ,"57,942",$34.70M
717,"Aguirre, der Zorn Gottes",(1972),95 min,7.8,****,"60,173",%^%^%^
718,Bride of Frankenstein,(1935),75 min,7.8,95        ,"51,258",$4.36M
719,Breaking the Waves,(1996),159 min,7.8,82        ,"70,084",$4.04M
720,To Have and Have Not,(1944),100 min,7.8,90        ,"37,166",%^%^%^
721,Mimi wo sumaseba,(1995),111 min,7.8,75        ,"68,619",%^%^%^
722,My Left Foot: The Story of Christy Brown,(1989),103 min,7.8,97        ,"77,965",$14.74M
723,Pride,(I) (2014),119 min,7.8,79        ,"60,404",%^%^%^
724,The Man Who Would Be King,(1975),129 min,7.8,91        ,"51,035",%^%^%^
725,Shadow of a Doubt,(1943),108 min,7.8,94        ,"68,686",%^%^%^
726,Jûbê ninpûchô,(1993),94 min,7.8,****,"39,512",%^%^%^
727,Red River,(1948),133 min,7.8,96        ,"33,232",%^%^%^
728,East of Eden,(1955),118 min,7.8,72        ,"47,788",%^%^%^
729,Les parapluies de Cherbourg,(1964),91 min,7.8,86        ,"30,064",$0.03M
730,Under sandet,(2015),100 min,7.8,75        ,"44,235",$0.44M
731,"I, Daniel Blake",(2016),100 min,7.8,78        ,"63,058",$0.26M
732,The Lunchbox,(2013),104 min,7.8,76        ,"59,344",$4.23M
733,Un prophète,(2009),155 min,7.8,90        ,"100,929",$2.08M
734,Das weiße Band - Eine deutsche Kindergeschichte,(2009),144 min,7.8,84        ,"76,260",$2.22M
735,His Girl Friday,(1939),92 min,7.8,****,"61,670",$0.30M
736,Cowboy Bebop: Tengoku no tobira,(2001),115 min,7.8,61        ,"51,452",$1.00M
737,Bringing Up Baby,(1938),102 min,7.8,91        ,"64,661",%^%^%^
738,The Asphalt Jungle,(1950),112 min,7.8,85        ,"28,920",%^%^%^
739,You Can't Take It with You,(1938),126 min,7.8,****,"27,109",$4.66M
740,Il postino,(1994),108 min,7.8,81        ,"38,236",$21.85M
741,Les choristes,(2004),97 min,7.8,56        ,"65,499",$3.64M
742,Dip huet seung hung,(1989),111 min,7.8,82        ,"50,108",%^%^%^
743,Crimes and Misdemeanors,(1989),104 min,7.8,77        ,"59,914",$18.25M
744,Vivre sa vie: Film en douze tableaux,(1962),80 min,7.8,****,"34,076",%^%^%^
745,Le charme discret de la bourgeoisie,(1972),102 min,7.8,93        ,"45,437",$0.20M
746,Bir Zamanlar Anadolu'da,(2011),157 min,7.8,82        ,"48,664",$0.14M
747,Soshite chichi ni naru,(2013),121 min,7.8,73        ,"27,061",$0.28M
748,Tôkyô goddofâzâzu,(2003),92 min,7.8,74        ,"44,120",$0.13M
749,Duck Soup,(1933),69 min,7.8,93        ,"61,866",%^%^%^
750,Ma vie de Courgette,(2016),66 min,7.8,85        ,"27,907",$0.29M
751,Sennen joyû,(2001),87 min,7.8,70        ,"30,585",$0.19M
752,Veer-Zaara,(2004),192 min,7.8,67        ,"55,769",$2.92M
753,Knockin' on Heaven's Door,(1997),87 min,7.8,****,"32,658",$0.00M
754,A Night at the Opera,(1935),96 min,7.8,****,"34,081",$2.54M
755,Vicky Donor,(2012),126 min,7.8,****,"44,762",$0.17M
756,English Vinglish,(2012),134 min,7.8,****,"38,048",$1.67M
757,Hindi Medium,(2017),132 min,7.8,****,"31,157",%^%^%^
758,The Whale,(2022),117 min,7.7,60        ,"180,134",%^%^%^
759,Wind River,(2017),107 min,7.7,73        ,"268,686",$33.80M
760,The Goonies,(1985),114 min,7.7,62        ,"289,977",$61.50M
761,The Banshees of Inisherin,(2022),114 min,7.7,87        ,"227,464",%^%^%^
762,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        ,"658,725",$290.01M
763,Aftersun,(II) (2022),102 min,7.7,95        ,"75,364",%^%^%^
764,The Hangover,(2009),100 min,7.7,73        ,"822,097",$277.32M
765,Ocean's Eleven,(2001),116 min,7.7,74        ,"602,161",$183.42M
766,Lost in Translation,(2003),102 min,7.7,91        ,"474,975",$44.59M
767,Halloween,(1978),91 min,7.7,87        ,"293,584",$47.00M
768,Coraline,(2009),100 min,7.7,80        ,"251,817",$75.29M
769,Sicario,(2015),121 min,7.7,82        ,"455,487",$46.89M
770,Man on Fire,(2004),146 min,7.7,47        ,"378,929",$77.91M
771,Zodiac,(2007),157 min,7.7,79        ,"576,129",$33.08M
772,Kingsman: The Secret Service,(2014),129 min,7.7,60        ,"697,642",$128.26M
773,Mr. Nobody,(2009),141 min,7.7,63        ,"241,707",$0.00M
774,When Harry Met Sally...,(1989),95 min,7.7,76        ,"232,987",$92.82M
775,Harry Potter and the Deathly Hallows - Part 1,(2010),146 min,7.7,65        ,"578,849",$295.98M
776,(500) Days of Summer,(2009),95 min,7.7,76        ,"540,917",$32.39M
777,Training Day,(2001),122 min,7.7,71        ,"458,588",$76.63M
778,Mission: Impossible - Fallout,(2018),147 min,7.7,86        ,"364,990",$220.16M
779,La vie d'Adèle,(2013),180 min,7.7,90        ,"159,372",$2.20M
780,The Game,(1997),129 min,7.7,63        ,"416,258",$48.32M
781,Der Name der Rose,(1986),130 min,7.7,54        ,"113,620",$7.15M
782,Black Hawk Down,(2001),144 min,7.7,74        ,"413,470",$108.64M
783,Home Alone,(1990),103 min,7.7,63        ,"613,199",$285.76M
784,The Last of the Mohicans,(1992),112 min,7.7,76        ,"181,111",$75.51M
785,Ex Machina,(2014),108 min,7.7,78        ,"569,870",$25.44M
786,Airplane!,(1980),88 min,7.7,78        ,"253,084",$83.40M
787,Blue Velvet,(1986),120 min,7.7,76        ,"209,687",$8.55M
788,Y tu mamá también,(2001),106 min,7.7,89        ,"127,048",$13.62M
789,Tangled,(2010),100 min,7.7,71        ,"478,623",$200.82M
790,Blazing Saddles,(1974),93 min,7.7,73        ,"147,364",$119.50M
791,Donnie Brasco,(1997),127 min,7.7,76        ,"322,800",$41.91M
792,Brokeback Mountain,(2005),134 min,7.7,87        ,"372,889",$83.04M
793,The Boondock Saints,(1999),108 min,7.7,44        ,"246,001",$0.03M
794,Deliverance,(1972),109 min,7.7,80        ,"116,540",$7.06M
795,A Few Good Men,(1992),138 min,7.7,62        ,"278,825",$141.34M
796,Primal Fear,(1996),129 min,7.7,47        ,"238,778",$56.12M
797,Silver Linings Playbook,(2012),122 min,7.7,81        ,"729,401",$132.09M
798,Gravity,(2013),91 min,7.7,96        ,"848,624",$274.09M
799,The Lego Movie,(2014),100 min,7.7,83        ,"378,486",$257.76M
800,The Count of Monte Cristo,(2002),131 min,7.7,61        ,"145,157",$54.23M
801,Birdman or (The Unexpected Virtue of Ignorance),(2014),119 min,7.7,87        ,"653,018",$42.34M
802,Druk,(2020),117 min,7.7,79        ,"181,509",%^%^%^
803,Argo,(2012),120 min,7.7,86        ,"630,046",$136.03M
804,Crash,(I) (2004),112 min,7.7,66        ,"444,824",$54.58M
805,Who Framed Roger Rabbit,(1988),104 min,7.7,83        ,"211,322",$156.45M
806,X: First Class,(2011),131 min,7.7,65        ,"711,880",$146.41M
807,The Boy in the Striped Pajamas,(2008),94 min,7.7,55        ,"235,597",$9.03M
808,Sense and Sensibility,(1995),136 min,7.7,84        ,"122,084",$43.18M
809,The Color Purple,(1985),154 min,7.7,78        ,"92,272",$98.47M
810,"O Brother, Where Art Thou?",(2000),107 min,7.7,69        ,"323,868",$45.51M
811,The Fault in Our Stars,(2014),126 min,7.7,69        ,"392,785",$124.87M
812,First Blood,(1982),93 min,7.7,61        ,"267,196",$47.21M
813,Naked,(1993),131 min,7.7,85        ,"42,378",$1.77M
814,Toy Story 4,(2019),100 min,7.7,84        ,"269,296",$434.04M
815,What's Eating Gilbert Grape,(1993),118 min,7.7,73        ,"247,970",$9.17M
816,As Good as It Gets,(1997),139 min,7.7,67        ,"311,421",$148.48M
817,Dirty Harry,(1971),102 min,7.7,87        ,"164,606",$35.90M
818,GATTACA,(1997),106 min,7.7,64        ,"316,111",$12.34M
819,Sound of Metal,(2019),120 min,7.7,82        ,"142,204",%^%^%^
820,Philadelphia,(1993),125 min,7.7,66        ,"252,441",$77.32M
821,Wreck-It Ralph,(2012),101 min,7.7,72        ,"445,437",$189.42M
822,The Bourne Supremacy,(2004),108 min,7.7,73        ,"478,599",$176.24M
823,The French Connection,(1971),104 min,7.7,94        ,"131,010",$15.63M
824,Road to Perdition,(2002),117 min,7.7,72        ,"278,973",$104.45M
825,Apollo 13,(I) (1995),140 min,7.7,77        ,"307,656",$173.84M
826,Star Trek Into Darkness,(2013),132 min,7.7,72        ,"492,622",$228.78M
827,Fried Green Tomatoes,(1991),130 min,7.7,64        ,"79,533",$82.42M
828,Evil Dead II,(1987),84 min,7.7,72        ,"176,824",$5.92M
829,The Dirty Dozen,(1967),150 min,7.7,73        ,"77,262",$45.30M
830,Happiness,(1998),134 min,7.7,81        ,"73,028",$2.81M
831,Ray,(I) (2004),152 min,7.7,73        ,"154,309",$75.33M
832,The Theory of Everything,(2014),123 min,7.7,71        ,"470,983",$35.89M
833,3:10 to Yuma,(2007),122 min,7.7,76        ,"324,936",$53.61M
834,Goldfinger,(1964),110 min,7.7,87        ,"198,040",$51.08M
835,Empire of the Sun,(1987),153 min,7.7,62        ,"131,666",$22.24M
836,En man som heter Ove,(2015),116 min,7.7,70        ,"65,764",$3.48M
837,The Trial of the Chicago 7,(2020),129 min,7.7,76        ,"187,839",%^%^%^
838,Adaptation.,(2002),115 min,7.7,83        ,"199,167",$22.25M
839,Glengarry Glen Ross,(1992),100 min,7.7,82        ,"112,689",$10.73M
840,This Is England,(2006),101 min,7.7,86        ,"126,447",$0.33M
841,Being John Malkovich,(1999),113 min,7.7,90        ,"347,439",$22.86M
842,Serpico,(1973),130 min,7.7,83        ,"130,807",$29.80M
843,Kung fu,(2004),99 min,7.7,78        ,"147,154",$17.11M
844,Flipped,(I) (2010),90 min,7.7,45        ,"94,831",$1.75M
845,The Magnificent Seven,(1960),128 min,7.7,74        ,"99,813",$4.91M
846,Detachment,(2011),98 min,7.7,52        ,"94,465",$0.07M
847,Hamlet,(1996),242 min,7.7,****,"39,315",$4.41M
848,Roma,(2018),135 min,7.7,96        ,"165,959",%^%^%^
849,Star Trek II: The Wrath of Khan,(1982),113 min,7.7,68        ,"126,962",$78.91M
850,Paprika,(2006),90 min,7.7,81        ,"91,193",$0.88M
851,Kaze tachinu,(2013),126 min,7.7,83        ,"93,161",$5.21M
852,Lucky Number Slevin,(2006),110 min,7.7,53        ,"321,421",$22.49M
853,Clerks,(1994),92 min,7.7,70        ,"229,102",$3.15M
854,Malcolm X,(1992),202 min,7.7,73        ,"99,543",$48.17M
855,Bonnie and Clyde,(1967),111 min,7.7,86        ,"117,955",%^%^%^
856,Spoorloos,(1988),107 min,7.7,****,"41,794",%^%^%^
857,Belle de jour,(1967),100 min,7.7,****,"47,422",$0.03M
858,Fantasia,(1940),124 min,7.7,96        ,"101,295",$76.41M
859,Miller's Crossing,(1990),115 min,7.7,66        ,"139,563",$5.08M
860,Billy Elliot,(2000),110 min,7.7,74        ,"139,886",$22.00M
861,La grande bellezza,(2013),141 min,7.7,86        ,"95,381",$2.85M
862,Zwartboek,(2006),145 min,7.7,71        ,"79,143",$4.40M
863,The Longest Day,(1962),178 min,7.7,75        ,"58,063",$39.10M
864,Ordinary People,(1980),124 min,7.7,86        ,"55,176",$54.80M
865,Finding Neverland,(2004),106 min,7.7,67        ,"210,150",$51.68M
866,Me and Earl and the Dying Girl,(2015),105 min,7.7,74        ,"136,081",$6.74M
867,Madeo,(2009),129 min,7.7,79        ,"69,150",$0.55M
868,Zulu,(1964),138 min,7.7,77        ,"41,523",%^%^%^
869,À bout de souffle,(1960),90 min,7.7,****,"85,923",$0.34M
870,The Last Emperor,(1987),163 min,7.7,76        ,"108,667",$43.98M
871,Lola rennt,(1998),81 min,7.7,77        ,"203,914",$7.27M
872,"South Park: Bigger, Longer & Uncut",(1999),81 min,7.7,73        ,"211,636",$52.04M
873,The Quiet Man,(1952),129 min,7.7,85        ,"41,084",$10.55M
874,The Verdict,(1982),129 min,7.7,77        ,"44,232",$54.00M
875,Kubo and the Two Strings,(2016),101 min,7.7,84        ,"135,786",$48.02M
876,Badlands,(1973),94 min,7.7,93        ,"76,463",%^%^%^
877,Kurenai no buta,(1992),94 min,7.7,83        ,"96,780",%^%^%^
878,Invasion of the Body Snatchers,(1956),80 min,7.7,92        ,"53,053",%^%^%^
879,Short Cuts,(1993),188 min,7.7,81        ,"46,603",$6.11M
880,Ajeossi,(2010),119 min,7.7,****,"72,986",$0.01M
881,Beasts of No Nation,(2015),137 min,7.7,79        ,"85,090",$0.08M
882,Nebraska,(2013),115 min,7.7,86        ,"121,120",$17.65M
883,The Lady Vanishes,(1938),96 min,7.7,98        ,"55,643",%^%^%^
884,Perfetti sconosciuti,(2016),96 min,7.7,****,"69,263",%^%^%^
885,The African Queen,(1951),105 min,7.7,91        ,"82,412",$0.54M
886,Abre los ojos,(1997),119 min,7.7,****,"71,989",$0.37M
887,La planète sauvage,(1973),72 min,7.7,73        ,"35,222",$0.19M
888,Waking Life,(2001),99 min,7.7,84        ,"66,090",$2.89M
889,Omoide no Marnie,(2014),103 min,7.7,72        ,"45,083",$0.77M
890,The Broken Circle Breakdown,(2012),111 min,7.7,70        ,"42,555",$0.18M
891,Night on Earth,(1991),129 min,7.7,68        ,"64,097",$2.02M
892,Good Bye Lenin!,(2003),121 min,7.7,68        ,"150,483",$4.06M
893,Chun gwong cha sit,(1997),96 min,7.7,70        ,"32,595",$0.19M
894,Lat sau san taam,(1992),128 min,7.7,****,"52,839",%^%^%^
895,Hedwig and the Angry Inch,(2001),95 min,7.7,85        ,"36,851",$3.03M
896,Ta'm e guilass,(1997),95 min,7.7,80        ,"34,486",$0.31M
897,Yume,(1990),119 min,7.7,****,"28,134",$1.96M
898,Frost/Nixon,(2008),122 min,7.7,80        ,"111,070",$18.59M
899,The Magdalene Sisters,(2002),114 min,7.7,83        ,"28,052",$4.89M
900,Wait Until Dark,(1967),108 min,7.7,81        ,"32,672",$17.55M
901,La double vie de Véronique,(1991),98 min,7.7,86        ,"51,606",$2.00M
902,Diarios de motocicleta,(2004),126 min,7.7,75        ,"103,674",$16.78M
903,Scarface,(1932),93 min,7.7,90        ,"29,487",%^%^%^
904,Marty,(1955),90 min,7.7,82        ,"26,076",%^%^%^
905,Le Petit Prince,(2015),108 min,7.7,70        ,"65,106",$1.34M
906,Black Narcissus,(1947),101 min,7.7,86        ,"26,653",%^%^%^
907,Cape Fear,(1962),106 min,7.7,76        ,"30,771",%^%^%^
908,The Caine Mutiny,(1954),124 min,7.7,63        ,"29,076",$21.75M
909,Down by Law,(1986),107 min,7.7,75        ,"54,151",$1.44M
910,Key Largo,(1948),100 min,7.7,****,"43,159",%^%^%^
911,Forushande,(2016),124 min,7.7,85        ,"63,362",$2.40M
912,A Man for All Seasons,(1966),120 min,7.7,72        ,"36,347",$28.35M
913,Ondskan,(2003),113 min,7.7,61        ,"40,684",$0.02M
914,Das Experiment,(2001),120 min,7.7,59        ,"95,395",$0.14M
915,Kokuhaku,(2010),106 min,7.7,****,"41,081",%^%^%^
916,The Purple Rose of Cairo,(1985),82 min,7.7,75        ,"53,737",$10.63M
917,How Green Was My Valley,(1941),118 min,7.7,88        ,"25,725",%^%^%^
918,Gongdong gyeongbi guyeok JSA,(2000),110 min,7.7,58        ,"33,023",%^%^%^
919,L'avventura,(1960),144 min,7.7,****,"31,819",%^%^%^
920,Love and Death,(1975),85 min,7.7,89        ,"40,043",%^%^%^
921,Les triplettes de Belleville,(2003),80 min,7.7,91        ,"56,225",$7.00M
922,Jules et Jim,(1962),105 min,7.7,97        ,"43,526",%^%^%^
923,Adams æbler,(2005),94 min,7.7,51        ,"53,173",$0.00M
924,Hana-bi,(1997),103 min,7.7,83        ,"32,260",$0.23M
925,Toki o kakeru shôjo,(2006),98 min,7.7,66        ,"69,305",%^%^%^
926,Efter brylluppet,(2006),120 min,7.7,78        ,"36,145",$0.41M
927,In America,(2002),105 min,7.7,76        ,"43,933",$15.54M
928,The Muppet Christmas Carol,(1992),85 min,7.7,64        ,"64,860",$27.28M
929,Zelig,(1983),79 min,7.7,****,"43,415",$11.80M
930,The Breadwinner,(2017),94 min,7.7,78        ,"27,507",$0.31M
931,Le passé,(2013),130 min,7.7,85        ,"50,204",$1.33M
932,Auf der anderen Seite,(2007),122 min,7.7,85        ,"33,011",$0.74M
933,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,65        ,"825,846",$317.58M
934,Saw,(2004),103 min,7.6,46        ,"445,494",$56.00M
935,Once Upon a Time in... Hollywood,(2019),161 min,7.6,83        ,"801,991",$142.50M
936,American Psycho,(2000),102 min,7.6,64        ,"678,266",$15.07M
937,The Birds,(1963),119 min,7.6,90        ,"199,291",$11.40M
938,Hell or High Water,(II) (2016),102 min,7.6,88        ,"243,659",$27.01M
939,300,(2006),117 min,7.6,52        ,"846,808",$210.61M
940,Watchmen,(2009),162 min,7.6,56        ,"570,152",$107.51M
941,Superbad,(2007),113 min,7.6,76        ,"613,076",$121.46M
942,Star Wars: Episode III - Revenge of the Sith,(2005),140 min,7.6,68        ,"824,621",$380.26M
943,The Fifth Element,(1997),126 min,7.6,52        ,"492,658",$63.54M
944,Office Space,(1999),89 min,7.6,68        ,"280,349",$10.82M
945,My Cousin Vinny,(1992),120 min,7.6,68        ,"135,636",$52.93M
946,Deadpool 2,(2018),119 min,7.6,66        ,"619,798",$324.59M
947,What We Do in the Shadows,(2014),86 min,7.6,76        ,"193,887",$3.33M
948,Stardust,(2007),127 min,7.6,66        ,"279,961",$38.63M
949,The Others,(2001),101 min,7.6,74        ,"382,384",$96.52M
950,RoboCop,(1987),102 min,7.6,70        ,"272,500",$53.42M
951,The Butterfly Effect,(2004),113 min,7.6,30        ,"509,676",$57.94M
952,Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        ,"736,512",$389.81M
953,Moneyball,(2011),133 min,7.6,87        ,"449,779",$75.61M
954,Midnight in Paris,(2011),94 min,7.6,81        ,"441,001",$56.82M
955,Kick-Ass,(2010),117 min,7.6,66        ,"582,485",$48.07M
956,United 93,(2006),111 min,7.6,90        ,"109,585",$31.57M
957,Mad Max 2,(1981),96 min,7.6,77        ,"188,848",$12.47M
958,Minority Report,(2002),145 min,7.6,80        ,"572,158",$132.07M
959,True Grit,(2010),110 min,7.6,80        ,"351,201",$171.24M
960,The Thin Red Line,(1998),170 min,7.6,78        ,"195,533",$36.40M
961,Kung Fu Panda,(2008),92 min,7.6,74        ,"499,137",$215.43M
962,A Star Is Born,(2018),136 min,7.6,88        ,"405,903",$215.29M
963,The Fly,(1986),96 min,7.6,79        ,"194,969",$40.46M
964,Dark Waters,(2019),126 min,7.6,73        ,"96,076",%^%^%^
965,End of Watch,(2012),109 min,7.6,68        ,"261,316",$41.00M
966,Gone Baby Gone,(2007),114 min,7.6,72        ,"283,391",$20.30M
967,The Machinist,(2004),101 min,7.6,61        ,"406,983",$1.08M
968,The Blind Side,(2009),129 min,7.6,53        ,"351,961",$255.96M
969,Mulan,(1998),87 min,7.6,71        ,"305,657",$120.62M
970,Despicable Me,(2010),95 min,7.6,72        ,"569,049",$251.51M
971,Eastern Promises,(2007),100 min,7.6,83        ,"254,712",$17.11M
972,Serbuan maut,(2011),101 min,7.6,73        ,"212,925",$4.11M
973,The Royal Tenenbaums,(2001),110 min,7.6,76        ,"306,682",$52.36M
974,Snow White and the Seven Dwarfs,(1937),83 min,7.6,96        ,"210,058",$184.93M
975,50/50,(2011),100 min,7.6,72        ,"338,987",$35.01M
976,The Jungle Book,(1967),78 min,7.6,65        ,"193,415",$141.84M
977,After Hours,(I) (1985),97 min,7.6,90        ,"76,408",$10.60M
978,Match Point,(2005),124 min,7.6,72        ,"224,463",$23.09M
979,Rushmore,(1998),93 min,7.6,86        ,"194,151",$17.11M
980,The Mitchells vs the Machines,(2021),114 min,7.6,81        ,"120,847",%^%^%^
981,Lethal Weapon,(1987),109 min,7.6,68        ,"270,008",$65.21M
982,Gake no ue no Ponyo,(2008),101 min,7.6,86        ,"155,004",$15.09M
983,Die Hard with a Vengeance,(1995),128 min,7.6,58        ,"399,939",$100.01M
984,Searching,(III) (2018),102 min,7.6,71        ,"175,909",$26.02M
985,Rebel Without a Cause,(1955),111 min,7.6,89        ,"95,726",%^%^%^
986,The Last King of Scotland,(2006),123 min,7.6,74        ,"192,848",$17.61M
987,21 Grams,(2003),124 min,7.6,70        ,"242,870",$16.29M
988,The Bridges of Madison County,(1995),135 min,7.6,69        ,"86,411",$71.52M
989,I Am Sam,(2001),132 min,7.6,28        ,"153,434",$40.31M
990,25th Hour,(2002),135 min,7.6,69        ,"182,839",$13.06M
991,Barton Fink,(1991),116 min,7.6,69        ,"126,686",$6.15M
992,The Taking of Pelham One Two Three,(1974),104 min,7.6,68        ,"33,679",$2.49M
993,The Invisible Man,(1933),71 min,7.6,87        ,"38,248",%^%^%^
994,From Here to Eternity,(1953),118 min,7.6,85        ,"49,595",$30.50M
995,Philomena,(2013),98 min,7.6,77        ,"102,687",$37.71M
996,Control,(2007),122 min,7.6,78        ,"67,575",$0.87M
997,Un long dimanche de fiançailles,(2004),133 min,7.6,76        ,"75,215",$6.17M
998,Shine,(1996),105 min,7.6,87        ,"55,804",$35.81M
999,Celda 211,(2009),113 min,7.6,****,"69,725",%^%^%^
